meeting_id,category,subcategory,meeting_lat,meeting_lng,time_slot,location_type,vibe,expected_cost,max_participants
1,문화예술,전시회,37.65608897855839,126.8967710912477,afternoon,indoor,창의적인,5380,5
2,스터디,코딩,37.55360543800264,127.19689676594444,evening,indoor,진지한,5220,5
3,스터디,영어회화,37.54108886680747,126.81159869773438,evening,indoor,진지한,5518,7
4,취미활동,베이킹,37.698367742182924,126.96802891810087,afternoon,indoor,여유로운,27440,6
5,맛집,중식,37.65830264639241,127.04624975867326,evening,indoor,여유로운,32380,6
6,카페,베이커리,37.59472418060567,126.94009464573082,morning,indoor,감성적인,11339,6
7,맛집,이자카야,37.67504197342244,127.02406875822695,afternoon,indoor,여유로운,34835,6
8,소셜,볼링,37.46429002169686,127.03404866437086,evening,indoor,활기찬,24075,4
9,취미활동,쿠킹,37.64312987407195,127.07588061394475,evening,indoor,여유로운,28962,7
10,문화예술,공연,37.64953559005555,127.19218831911323,evening,indoor,창의적인,5194,4
11,소셜,보드게임,37.41556462327819,127.17689348779646,evening,indoor,즐거운,24150,4
12,맛집,이자카야,37.50155799041805,126.80820464120936,evening,indoor,여유로운,28287,5
13,취미활동,그림,37.588616416107676,127.02149129255935,evening,indoor,여유로운,29645,9
14,취미활동,베이킹,37.4058567712094,127.13227584207921,afternoon,indoor,창의적인,34493,7
15,스포츠,요가,37.57125590766329,127.01082837540538,morning,outdoor,활기찬,6152,14
16,취미활동,쿠킹,37.57829952017798,127.03744421777857,evening,indoor,창의적인,17469,7
17,카페,베이커리,37.52626317492296,127.0908417796234,afternoon,indoor,감성적인,12060,5
18,취미활동,플라워,37.42640180825344,127.15741383339937,evening,indoor,창의적인,21267,7
19,문화예술,전시회,37.65907310094175,127.17170439007916,evening,indoor,감성적인,22278,9
20,스터디,코딩,37.6961247092018,127.02275223605919,evening,indoor,진지한,2224,5
21,스터디,코딩,37.40159725717132,127.02592766515455,evening,indoor,진지한,2713,7
22,맛집,중식,37.56859440248792,126.88570217373727,evening,indoor,여유로운,34623,6
23,소셜,볼링,37.53516096172012,126.80465795980123,evening,indoor,즐거운,21627,4
24,스터디,영어회화,37.62088396963503,127.02853581138123,evening,indoor,진지한,534,4
25,문화예술,전시회,37.58231273354958,126.9575911315669,afternoon,indoor,창의적인,8364,7
26,문화예술,공방체험,37.61613011066773,127.0575082432405,evening,indoor,감성적인,20097,4
27,맛집,일식,37.5835712254302,126.94940786569269,afternoon,indoor,힐링,35893,7
28,맛집,이자카야,37.57630834085939,126.90087279272771,afternoon,indoor,힐링,23509,6
29,문화예술,공방체험,37.42897660474836,127.18070620645693,afternoon,indoor,감성적인,12478,7
30,맛집,이자카야,37.41236834419972,126.90031933404478,afternoon,indoor,여유로운,36303,5
31,스포츠,러닝,37.52069286013744,126.8646391823832,morning,outdoor,활기찬,7606,13
32,취미활동,그림,37.42516938818867,126.82091054890888,afternoon,indoor,여유로운,16484,6
33,취미활동,그림,37.57959115364896,126.91701617139263,evening,indoor,즐거운,30895,7
34,소셜,당구,37.49167293779835,127.00705557427577,evening,indoor,즐거운,17614,9
35,취미활동,쿠킹,37.437523468044894,126.81659972175429,evening,indoor,여유로운,19884,6
36,스포츠,요가,37.53628121730813,127.08782336530618,evening,outdoor,에너지 넘치는,8461,6
37,취미활동,플라워,37.528921102678936,126.96993229465733,evening,indoor,창의적인,15600,5
38,스터디,독서토론,37.52970679764403,127.19667978440742,evening,indoor,진지한,7420,7
39,소셜,볼링,37.412235504030654,126.92600331007591,evening,indoor,즐거운,14389,8
40,맛집,일식,37.67674966889075,127.14106646124068,evening,indoor,여유로운,24818,7
41,소셜,방탈출,37.47601943226781,127.0020112184595,evening,indoor,즐거운,15469,5
42,스포츠,배드민턴,37.55435808097467,126.84275411819563,morning,outdoor,에너지 넘치는,8360,7
43,문화예술,갤러리,37.41353476358044,127.17337640286834,afternoon,indoor,감성적인,19917,8
44,맛집,일식,37.6264820600475,126.93174140969998,afternoon,indoor,여유로운,24976,4
45,문화예술,공방체험,37.41241231474017,126.95155483613304,evening,indoor,창의적인,7041,5
46,소셜,보드게임,37.661631819123976,126.91557480666303,evening,indoor,즐거운,22214,9
47,문화예술,공연,37.57292166543609,127.11680125045208,afternoon,indoor,감성적인,19323,9
48,맛집,한식,37.639903524096084,126.97312062449053,afternoon,indoor,여유로운,21640,5
49,스터디,재테크,37.56200875767821,126.98441342723912,evening,indoor,진지한,2607,7
50,취미활동,플라워,37.695797471651204,127.17510582372729,evening,indoor,즐거운,32782,9
51,취미활동,그림,37.66407439834267,127.1843616616516,evening,indoor,창의적인,29383,6
52,맛집,양식,37.47499962056715,127.01404820306936,evening,indoor,여유로운,31981,5
53,취미활동,플라워,37.565666684052154,127.06438952825987,evening,indoor,창의적인,22197,7
54,맛집,중식,37.57878438523778,126.81254462752183,afternoon,indoor,힐링,30823,7
55,소셜,방탈출,37.52214928954014,126.96367865751427,evening,indoor,활기찬,21767,5
56,문화예술,공연,37.44043573547523,126.99843019140022,afternoon,indoor,창의적인,7522,5
57,소셜,보드게임,37.49547649918382,126.89602786124287,evening,indoor,활기찬,23634,5
58,취미활동,쿠킹,37.50005370609886,126.88758805084233,afternoon,indoor,창의적인,20539,6
59,카페,베이커리,37.48128896236137,126.91425063987343,morning,indoor,힐링,18554,7
60,취미활동,쿠킹,37.58654736937713,127.04054384291135,afternoon,indoor,여유로운,26806,8
61,카페,카페투어,37.45744802297924,126.86692055199725,afternoon,indoor,여유로운,16719,4
62,취미활동,플라워,37.61854128366758,126.80002113077292,afternoon,indoor,창의적인,31284,7
63,문화예술,갤러리,37.68015763873572,127.12391541147524,evening,indoor,창의적인,6865,7
64,취미활동,플라워,37.44591277914915,127.00223433247376,evening,indoor,즐거운,32536,7
65,취미활동,플라워,37.54290148804831,127.17313848854413,afternoon,indoor,여유로운,25022,9
66,취미활동,쿠킹,37.512613206169796,126.89663400026834,evening,indoor,창의적인,30923,6
67,카페,베이커리,37.57895480020959,126.92726087432166,morning,indoor,감성적인,12469,5
68,스터디,재테크,37.42790911242227,127.03570693550267,evening,indoor,진지한,4256,7
69,문화예술,공연,37.53542230113007,127.00057896793668,afternoon,indoor,창의적인,13967,6
70,스포츠,러닝,37.54278266526432,126.84903326260287,evening,outdoor,활기찬,4540,13
71,카페,베이커리,37.405664263572866,126.84021214347673,afternoon,indoor,감성적인,16899,7
72,맛집,이자카야,37.65231349475377,127.00539918453674,evening,indoor,여유로운,20924,6
73,문화예술,전시회,37.53507955804899,126.87975232760425,afternoon,indoor,감성적인,5846,7
74,소셜,볼링,37.6630052640382,126.88652037611847,evening,indoor,활기찬,14908,7
75,취미활동,쿠킹,37.69685598785026,126.90502894857438,evening,indoor,즐거운,30445,6
76,카페,브런치,37.5899850446999,127.12428826917807,afternoon,indoor,감성적인,12964,4
77,스터디,재테크,37.4954489811268,126.88784761819173,evening,indoor,진지한,5419,6
78,소셜,당구,37.514330154083545,127.08778809252536,evening,indoor,즐거운,24647,4
79,소셜,당구,37.4239367370902,126.9671878174346,evening,indoor,활기찬,22379,9
80,스포츠,축구,37.65227715313204,127.05747169438287,evening,outdoor,에너지 넘치는,4673,9
81,맛집,이자카야,37.69071128789077,126.98691494327285,afternoon,indoor,여유로운,26120,5
82,스포츠,요가,37.66271511096768,127.12056672436346,evening,outdoor,에너지 넘치는,984,9
83,스포츠,요가,37.65396034793702,127.0020662846091,morning,outdoor,에너지 넘치는,1389,7
84,문화예술,공연,37.44942020266632,126.94054237386197,evening,indoor,감성적인,11997,6
85,스포츠,러닝,37.67125736226573,127.04086750775555,morning,outdoor,에너지 넘치는,7857,13
86,카페,카페투어,37.61761688049855,126.88386436884468,afternoon,indoor,힐링,19891,6
87,카페,브런치,37.68269028137036,127.10202728165265,morning,indoor,힐링,13377,7
88,소셜,볼링,37.51313359536034,127.16255659294487,evening,indoor,즐거운,20747,4
89,스터디,영어회화,37.61662923388037,126.8696736752272,evening,indoor,진지한,4721,5
90,취미활동,쿠킹,37.60220041132096,127.01660251284899,afternoon,indoor,창의적인,30234,5
91,카페,디저트,37.625720736115845,127.14556132651765,morning,indoor,힐링,18562,7
92,카페,브런치,37.46852268847023,127.12888446212308,afternoon,indoor,여유로운,17881,7
93,카페,베이커리,37.45388262164819,127.09400927927128,afternoon,indoor,감성적인,11134,4
94,취미활동,그림,37.458198186867016,126.91394107064424,afternoon,indoor,여유로운,25626,9
95,스터디,재테크,37.58456846084006,126.97727203005786,evening,indoor,진지한,5061,5
96,소셜,당구,37.66209014679041,126.8302217975051,evening,indoor,활기찬,18461,6
97,취미활동,쿠킹,37.662894190974654,126.91919191786491,afternoon,indoor,즐거운,21013,4
98,소셜,방탈출,37.41411171602442,127.1516440895572,evening,indoor,활기찬,13989,5
99,맛집,이자카야,37.68473373706647,127.19944692766576,afternoon,indoor,여유로운,33174,5
100,소셜,보드게임,37.62927326636594,127.01584634024074,evening,indoor,활기찬,17325,6
101,맛집,일식,37.488201016578486,127.02395724061438,afternoon,indoor,여유로운,19178,5
102,취미활동,베이킹,37.48912886575192,126.82170847415574,afternoon,indoor,여유로운,16737,9
103,스포츠,등산,37.62618130533243,126.84415769369997,morning,outdoor,에너지 넘치는,708,8
104,맛집,이자카야,37.40244387445827,126.8852229402932,evening,indoor,여유로운,24381,4
105,취미활동,그림,37.633155772831884,126.91416211612113,evening,indoor,여유로운,16190,8
106,맛집,양식,37.45666105602886,127.08045645255343,afternoon,indoor,힐링,22437,4
107,취미활동,그림,37.60893133781067,126.86585089862616,evening,indoor,여유로운,22716,9
108,소셜,방탈출,37.54277189824196,126.81782801628505,evening,indoor,즐거운,18439,5
109,스터디,독서토론,37.49560917718562,126.97941701974739,evening,indoor,진지한,5009,5
110,카페,베이커리,37.657830374850064,126.90250196955563,morning,indoor,감성적인,18712,4
111,스포츠,축구,37.60510986371739,126.80787328615256,morning,outdoor,에너지 넘치는,4870,9
